연번, 차고지명,구,동,좌표동,주차대수,대기실
1, 개화산 ,강서구,방화동845,방화동,22,○
2,구파발,은평구,진관동66-30,진관동,10,○
3,남부여성센터(민),금천구,시흥동4동139-2,시흥동,10,○(타)
4,대림운동장,영등포구,대림3동780,대림동,11,
5,도봉산,도봉구,도봉동341-1,도봉동,20,○
6,독립공원,서대문구,통일로251 (현저동101),현저동,6,
7,동대문구청,동대문구,용두동39-90,용두동,10,
8,동작공원,동작구,동작동326,동작동,9,
9,마포유수지,마포구,마포동36-1,마포동,11,○
10,면목홈플러스,중랑구,면목5동168-2,면목동,12,○
11,목동,양천구,목동914-6,목동,12,○(타)
12,북서울꿈의숲(민),강북구,번동106-3,번동,20,
13,사당,서초구,방배동507-1,방배동,10,○
14,서울의료원(민),중랑구,신내동316,신내동,15,
15,수락산,노원구,상계동1268,상계동,13,○
16,수서,강남구,수서동735,수서동,21,○
17,시립은평(민),은평구,백년사로90(응암동 232-23),응암동,12,
18,신길,영등포구,영등포동1가35,영등포동,9,○(타)
19,신림,관악구,신림5동1456-3,신림동,7,
20,신천,송파구,신천동14,신천동,10,○
21,아리랑(민),성북구,돈암동538-59,돈암동,10,
22,어린이대공원,광진구,능동18,능동,11,○
23,영등포구청역,영등포구,당산3가370-4,당산동3가,9,○
24,용답,성동구,용답동223,용답동,11,○(타)
25,용산,용산구,한강로2가12-13,한강로2가,10,
26,월드컵경기장,마포구,성산동515-6,성산동,28,○
27,으뜸,양천구,신월동263,신월동,8,
28,종묘,종로구,훈정동2,훈정동,16,○
29,창동,도봉구,창동1-9,창동,26,○
30,천왕,구로구,오류동174-10,오류동,10,○
31,천호,강동구,성내2동57-7,성내동,20,○
32,한우리정보문화,서초구,서초동380,서초동,7,○(타)
33,화랑대,중랑구,묵동29,묵동,11,○
34,훈련원공원,중구,을지로 227,을지로5가,10,○
